episode,score,steps,reward,epsilon,loss,memory_size,avg_score_10,avg_score_100,best_score,duration_s
1,1,12,2.0,0.995,0.0,12,1.0,1.0,1,0.0
2,0,5,-14.0,0.99,0.0,17,0.5,0.5,1,0.0
3,0,7,-12.0,0.9851,0.0,24,0.33,0.33,1,0.0
4,0,6,-13.0,0.9801,0.0,30,0.25,0.25,1,0.0
5,0,9,-8.0,0.9752,0.0,39,0.2,0.2,1,0.0
6,0,8,-15.0,0.9704,0.0,47,0.17,0.17,1,0.0
7,0,18,-15.0,0.9655,1.513,65,0.14,0.14,1,0.007
8,0,22,-13.0,0.9607,1.171146,87,0.12,0.12,1,0.043
9,1,4,0.0,0.9559,1.216334,91,0.22,0.22,1,0.008
10,0,7,-6.0,0.9511,0.933049,98,0.2,0.2,1,0.013
11,0,11,-8.0,0.9464,1.091258,109,0.1,0.18,1,0.021
12,0,11,-12.0,0.9416,0.783044,120,0.1,0.17,1,0.021
13,0,9,-8.0,0.9369,0.868271,129,0.1,0.15,1,0.017
14,0,17,-8.0,0.9322,0.58988,146,0.1,0.14,1,0.033
15,0,21,-10.0,0.9276,0.378637,167,0.1,0.13,1,0.041
16,0,10,-13.0,0.9229,0.331137,177,0.1,0.12,1,0.019
17,0,10,-3.0,0.9183,0.37374,187,0.1,0.12,1,0.02
18,0,9,-16.0,0.9137,0.295574,196,0.1,0.11,1,0.017
19,1,42,2.0,0.9092,0.245719,238,0.1,0.16,1,0.08
20,0,14,-9.0,0.9046,0.196297,252,0.1,0.15,1,0.027
21,2,12,19.0,0.9001,0.292704,264,0.3,0.24,2,0.023
22,0,11,-12.0,0.8956,0.293259,275,0.3,0.23,2,0.022
23,0,23,-14.0,0.8911,0.261408,298,0.3,0.22,2,0.044
24,0,28,-15.0,0.8867,0.197605,326,0.3,0.21,2,0.055
25,2,57,18.0,0.8822,0.168087,383,0.5,0.28,2,0.109
26,0,31,-14.0,0.8778,0.182829,414,0.5,0.27,2,0.058
27,0,19,-16.0,0.8734,0.183306,433,0.5,0.26,2,0.037
28,0,21,-12.0,0.8691,0.125175,454,0.5,0.25,2,0.039
29,2,10,13.0,0.8647,0.132591,464,0.6,0.31,2,0.019
30,0,8,-13.0,0.8604,0.148737,472,0.6,0.3,2,0.015
31,0,11,-16.0,0.8561,0.144847,483,0.4,0.29,2,0.021
32,0,8,-5.0,0.8518,0.086984,491,0.4,0.28,2,0.016
33,1,35,-1.0,0.8475,0.083508,526,0.5,0.3,2,0.069
34,0,6,-13.0,0.8433,0.109495,532,0.5,0.29,2,0.012
35,0,18,-7.0,0.8391,0.124987,550,0.3,0.29,2,0.038
36,0,22,-11.0,0.8349,0.152977,572,0.3,0.28,2,0.042
37,0,7,-14.0,0.8307,0.058433,579,0.3,0.27,2,0.013
38,0,12,-9.0,0.8266,0.108772,591,0.3,0.26,2,0.025
39,0,19,-16.0,0.8224,0.111071,610,0.1,0.26,2,0.037
40,0,7,-8.0,0.8183,0.118777,617,0.1,0.25,2,0.013
41,0,8,-9.0,0.8142,0.104792,625,0.1,0.24,2,0.017
42,0,20,-11.0,0.8102,0.131279,645,0.1,0.24,2,0.039
43,0,15,-12.0,0.8061,0.122976,660,0.0,0.23,2,0.028
44,1,25,9.0,0.8021,0.122433,685,0.1,0.25,2,0.048
45,0,8,-15.0,0.7981,0.111217,693,0.1,0.24,2,0.015
46,1,7,1.0,0.7941,0.139365,700,0.2,0.26,2,0.014
47,1,30,10.0,0.7901,0.119429,730,0.3,0.28,2,0.061
48,1,29,-1.0,0.7862,0.146032,759,0.4,0.29,2,0.06
49,1,22,0.0,0.7822,0.106471,781,0.5,0.31,2,0.046
50,1,21,5.0,0.7783,0.159991,802,0.6,0.32,2,0.044
